local_authority_code,local_authority_name,proportion_of_la_in_dno,overall_psr_records,overall_eligibility_estimate,overall_psr_reach,over_65_psr_records,over_65_eligibility_estimate,over_65_psr_reach,disability_psr_records,disability_eligibility_estimate,disability_psr_reach,child_under_5_psr_records,child_under_5_eligibility_estimate,child_under_5_psr_reach,no_english_psr_records,no_english_eligibility_estimate,no_english_psr_reach,partial_sight_psr_records,partial_sight_eligibility_estimate,partial_sight_psr_reach,blind_psr_records,blind_eligibility_estimate,blind_psr_reach,hearing_impaired_psr_records,hearing_impaired_eligibility_estimate,hearing_impaired_psr_reach,dementia_psr_records,dementia_eligibility_estimate,dementia_psr_reach,mental_health_psr_records,mental_health_eligibility_estimate,mental_health_psr_reach
E07000102,Three Rivers,0.0113547376664056,135,235.789636503164,0.5725442474999891,127,194.687348532699,0.6523279553456425,32,39.8525626159554,0.802959656782233,5,34.3375463821892,0.14561319974200274,0,1.02474478200371,0,7,7.92380057102,0.8834144596724646,1,4.79892147258958,0.20838015493935202,11,18.9199248935439,0.5813976568032552,4,6.95050613993495,0.5754976572162896,3,8.4882287372657,0.35343062644261225
E07000177,Cherwell,0.527243589743589,10361,14440.1282638975,0.7175144022719011,7298,9115.95127863539,0.8005747043760497,4094,3482.70301262205,1.1755237196977406,1007,3939.44950781932,0.25561947119800105,81,414.942196642057,0.19520791246466868,429,611.716137490664,0.7013056771067241,83,370.24924111277,0.22417331565770848,1176,1489.38030268174,0.789590138853404,384,589.045154053273,0.6519024855015974,1051,667.183796937891,1.575278064041233
E07000178,Oxford,1,16295,21712.6727517128,0.7504833783631991,10112,12532.8090272577,0.8068422632154799,6438,6261,1.028270244369909,1901,5675,0.33497797356828196,299,1416.02,0.21115520967217977,744,776.040725806451,0.9587125717234045,134,454.267741935483,0.2949802234010075,1516,1793.16213921901,0.8454338661534954,483,643.49298678593,0.7505909309322107,2241,1536.92238003364,1.4581087692606503
E07000179,South Oxfordshire,0.878933728248796,17641,23434.8780510166,0.7527668785643515,13085,16383.5693866911,0.7986660105110773,6336,5141.58996323529,1.2323036347326966,1551,5352.15058823529,0.28979005250885426,98,367.761994632353,0.2664766926173798,699,1111.72887024934,0.6287504253111889,110,683.439879251646,0.16095051421413684,1917,2711.04129387356,0.7071083735729357,586,1019.49961259652,0.5747917829095998,1530,1022.78302519747,1.4959184522099407
E07000180,Vale of White Horse,1,18255,25426.289729924,0.7179576805701162,13563,17022.8361442034,0.7967532487010668,6666,5887,1.1323254628843213,1557,6332,0.24589387239418825,124,466.62,0.26574085980026574,732,1080.14934374999,0.6776840667779249,108,659.56021875,0.16374547301333886,2016,2605.51308864265,0.7737439542283172,611,1069.54112407341,0.5712730312537874,1539,1054.87552589807,1.458939905435544
E07000181,West Oxfordshire,0.9964046021093,16566,21882.0435586508,0.7570590907379322,12290,15479.8545303391,0.7939351093973605,6166,4980.91232620875,1.237925824864556,1462,4642.05872587673,0.3149464680078723,71,242.749947499481,0.2924820405992129,648,982.371763415878,0.6596280798491102,114,605.299773417864,0.18833643263451377,1820,2358.41789924403,0.7717037767493983,632,1138.26592540525,0.5552305361113158,1491,949.322998516123,1.570592940791034
E07000207,Elmbridge,0.00128270908158029,16,39.2094076730688,0.40806533302949355,16,26.1754199084094,0.6112604900317059,4,7.61627906976744,0.5251908396946566,0,11.1994633273703,0,0,0.754338103756708,0,0,1.42609275428758,0,0,0.886490090503095,0,1,3.37385124170755,0.2963971818431114,1,1.46068951087457,0.6846081884994588,0,1.24679057701901,0
E07000209,Guildford,0.197804710724902,4043,5211.92098989297,0.7757216596030987,2834,3483.91082342935,0.8134536570056012,1415,1287.03909169301,1.099422705287581,414,1175.76976142569,0.35210975276145956,19,55.5322908881862,0.3421432772916993,120,184.126309073803,0.6517265273150109,23,110.833312258017,0.20751883645285826,350,436.7571325689,0.8013606965990103,118,176.17812788328,0.6697766710188697,419,198.408151094967,2.111808399441452
E07000212,Runnymede,0.434502216848045,4758,5764.61769427401,0.825379973545534,3166,3721.69687198014,0.850687229214216,1766,1543.55528652138,1.144111918388055,644,1385.11048210164,0.46494486058819895,47,175.03993586377,0.26851015322914157,177,256.523033964134,0.6899965171343927,44,157.223795010275,0.27985585767806,410,614.775066653389,0.6669105860650633,146,276.508690419641,0.5280123376173977,554,289.156564271644,1.9159170790241946
E07000213,Spelthorne,0.818941504178272,12257,15111.2598068967,0.8111170184769088,7624,9229.69053201917,0.8260298623828404,4692,4035.86855802226,1.1625750275423417,1778,4310.90649687346,0.41244225577370264,175,573.58684866734,0.3050976506985672,542,630.450756864305,0.8597023543849235,125,381.588615996816,0.32757790657214736,1034,1530.39876101336,0.6756409024503736,359,638.996474047289,0.561818436534021,1576,673.978032845498,2.3383551439298627
E07000214,Surrey Heath,0.958158995815899,11825,15178.4646254354,0.7790643053701353,8373,10332.7035410587,0.8103397108732003,3948,3400.34315914299,1.1610592858501492,1323,3499.21347403169,0.3780849638978095,105,301.068898839478,0.34875737880844093,390,712.878277545327,0.5470779686861795,91,443.140550906555,0.20535245491263823,1050,1713.21349922924,0.6128833332637094,347,868.528020715102,0.3995265457460978,1118,537.225993565684,2.0810608819941763
E07000216,Waverley,0.8000896458987,14344,19145.5712135157,0.7492072103794918,10642,13421.6629715641,0.7928972752889674,4754,4084.14441593868,1.1640136870398505,1370,4220.28777969018,0.32462241238453515,81,200.812749313155,0.4033608437564168,521,910.154478092783,0.5724302989661149,92,577.750233919767,0.1592383604517522,1347,2183.58150109698,0.616876447855644,450,993.669325189342,0.452866953414561,1270,819.222415121982,1.550250550469737
E07000217,Woking,0.000379075056861258,1,6.23681659302487,0.16033820861725834,1,4.78119155469938,0.20915288345163896,1,1.5,0.6666666666666666,0,0.96,0,0,0.03232,0,0,0.285259687913729,0,0,0.173468729136727,0,0,0.679138884154869,0,0,0.3276857383337,0,1,0.313369371124946,3.191122337228299
E07000221,Stratford-on-Avon,0.000202142712755205,1,4.16622058917848,0.24002569681438443,1,3.35923073529057,0.297687202458125,1,0.928571428571428,1.0769230769230775,0,0.515873015873015,0,0,0.00961904761904762,0,0,0.262043153725789,0,0,0.164027012255837,0,1,0.638332268491065,1.5665822477749258,0,0.231999315127925,0,0,0.1981980904073,0
E07000224,Arun,0.599466463414634,18493,22070.4963138568,0.8379059418065423,13572,16444.756512532,0.8253086623482222,6988,5951.48842105263,1.1741600597391475,1391,3343.69894736842,0.4160063516168984,144,448.8844,0.32079528716079236,807,1042.76058216257,0.773907274406529,142,658.279026728329,0.21571399700480393,1891,2517.38112346773,0.7511774766131237,604,1242.59695536778,0.48607877026483615,2034,1092.59896898594,1.8616162542124588
E07000225,Chichester,1,23207,27647.7555066884,0.8393809759488753,17681,21220.2310890308,0.8332143003447166,8087,6424,1.2588729763387299,1638,4314,0.3796940194714882,104,220.584,0.47147571900047147,922,1286.69294701986,0.716565674923039,185,818.804602649006,0.2259391305343007,2273,3094.41391187099,0.7345494380309534,704,1357.70103586611,0.5185235787574556,2158,1145.97778576133,1.8831080556821904
E07000227,Horsham,0.130708294501397,2364,3108.90164566975,0.7603971657619693,1726,2170.71217374008,0.7951307505804178,827,674.285738235747,1.226483007283865,215,745.503391401259,0.2883957370011193,11,16.3755404990404,0.6717335528952216,79,170.51565234058,0.4633005763143027,14,105.129951067124,0.13316852008293237,227,413.388497541156,0.5491202618123171,71,175.86327156943,0.4037227294044142,222,153.171236528213,1.4493582805222653
E09000009,Ealing,0.985021503781699,42917,52973.5303744664,0.8101593323424464,25985,25884.3896329559,1.003886912864115,16620,16268.9737423405,1.021576422902813,6012,16971.4058505868,0.35424289849223833,2287,6230.14800969784,0.3670859819766816,2076,2077.06773742722,0.9994859400066833,489,1206.37772628348,0.4053456801680808,2995,4916.75566149985,0.6091415165191225,1191,1812.31814636329,0.6571693840785816,5393,4121.56223608425,1.3084844267992173
E09000013,Hammersmith and Fulham,0.00477326968973747,2,64.7321650870837,0.030896541113825175,2,25.353005296095,0.07888611139556108,0,24.1203607914134,0,0,24.2340941419888,0,0,7.30121072028966,0,0,4.29966598504223,0,0,2.39876102323408,0,0,10.1552105201464,0,0,2.27019080631641,0,0,9.57114435338444,0
E09000017,Hillingdon,0.682934558707019,28387,32639.381051887,0.8697162472190583,15115,15208.2442288354,0.9938688367024903,11407,10408.4741112214,1.0959339359553277,5315,11895.3006223104,0.44681510528883783,1088,2885.28021458457,0.37708642456991065,1223,1186.88335070639,1.0304298221658554,346,697.783068821892,0.49585611268007984,2005,2828.92351405774,0.7087501623980198,747,1181.00122749618,0.6325141605345336,3937,1833.4847525696,2.147277196869162
E09000018,Hounslow,0.99744295830055,33830,42749.2699699773,0.7913585430525181,19450,20194.9269410287,0.9631131648456087,13350,13055.0978112175,1.0225890447583708,5129,14761.1154616128,0.34746696571395863,1389,4462.9410771746,0.3112297419977027,1477,1488.48718913349,0.9922826415857989,351,831.499740136641,0.42212881502803584,2538,3565.88582514739,0.7117446055343334,949,1285.42247243869,0.738278675181061,4633,2643.47722650007,1.7526158173619042
E09000027,Richmond upon Thames,0.0211426000899685,444,705.180540173038,0.6296259960478359,286,417.894564850374,0.6843831532061239,145,171.249019369631,0.8467201770482901,56,231.766802344601,0.241622179852733,4,32.1196986693122,0.12453416955065272,13,27.3760414226921,0.47486777943082203,0,16.0200538695754,0,32,65.7227217903966,0.486894016685046,15,27.7349903966203,0.540833069905366,37,36.2076917311976,1.0218823192233413
S12000013,Na h-Eileanan Siar,1,5687,6737.25975440874,0.8441117319661796,4348,4828.35676781674,0.9005134063376296,2144,2374.08808157827,0.9030835951860263,289,974.746709022394,0.29648727954141824,32,93.0206737881649,0.3440095485964045,232,265.511999999999,0.8737834824791381,37,163.392,0.22644927536231885,668,650.06027700831,1.027597014655705,172,213.12,0.807057057057057,488,266.4,1.831831831831832
S12000017,Highland,1,46343,54463.4977168274,0.8509001798039417,32319,37551.932647893,0.8606481137213422,18205,17765.5369470722,1.0247368291899686,3555,9140.23745039076,0.38893956741222496,310,1063.79268188699,0.2914101641027572,2008,2074.48560788609,0.9679507981962627,364,1250.79279299014,0.2910154280069228,4969,5036.63606933399,0.986571181954996,1340,1904.48,0.7036041334117449,5806,2142.54,2.709867727090276
S12000020,Moray,1,17006,20908.8622815185,0.8133393281293804,11721,14345.344052533,0.8170595251725864,6382,6553.57168154758,0.9738201258970491,1440,3665.95860951298,0.3928031255626487,107,481.850329288475,0.2220606555525275,716,818.565558583106,0.8747008623711928,127,499.125340599455,0.2544451056070838,1702,1974.37946364548,0.8620430020364168,460,674.869999999999,0.6816127550491216,2159,867.69,2.488215837453468
S12000021,North Ayrshire,0.0654052791403877,1948,1847.09993249451,1.0546262092973087,1648,1452.84709199533,1.1343244647560593,618,657.826899172932,0.9394568704578585,47,176.240358297793,0.2666812553829707,5,26.5329521334932,0.18844491841103414,88,75.1567460965955,1.1708862420267325,19,44.8303397769166,0.42382012035927524,212,182.988432688897,1.158543176116636,53,57.0615276804484,0.9288219603373843,122,79.0082690960056,1.5441421688627768
S12000023,Orkney Islands,1,3962,5140.66001014326,0.7707181552918119,3009,3645.78759081692,0.825336069380215,1437,1605.09774860999,0.8952725784111515,196,866.683651678419,0.22614941405716668,16,79.6971346058419,0.2007600408613333,166,210.945,0.7869349830524545,34,130.585,0.26036681088945896,418,507.536842105263,0.8235855317736853,103,135.24,0.7616089914226559,404,202.86,1.9915212461796312
S12000027,Shetland Islands,1,4232,4905.90186406574,0.8626344589153182,3058,3298.85323266985,0.9269888001428541,1619,1484.67547522864,1.0904739971882906,298,921.596531684033,0.32335191133528324,23,128.100600140418,0.17954638756405866,213,177.712405063291,1.1985657384139368,34,98.7291139240506,0.3443766346992155,531,434.845681826151,1.221122853905425,119,149.109999999999,0.7980685400040293,447,194.99,2.292425252577055
S12000030,Stirling,0.408830468486686,5325,6480.79680969342,0.8216582245003148,4082,4689.75962803124,0.8704070834678627,1824,1855.62489641474,0.9829572795257044,380,1001.74186227089,0.37933924328425517,21,102.921117081842,0.20403975972492583,214,290.047763956013,0.737809514823407,38,174.823309781706,0.21736231883179016,536,699.99763926697,0.76571686807586,176,267.493687226154,0.6579594525204621,479,343.920455005055,1.3927639168567616
