postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
SN10 5,SEPD,"HV,LV,PSI",5,656,10.15
IV2 7,SHEPD,"HV,LV,PSI",8,189,10.13
OX9 7,SEPD,PSI,2,106,10.12
BH14 0,SEPD,"LV,PSI",4,110,10.1
GU266 P,SEPD,HV,1,105,10.06
SO51 8,SEPD,LV,4,73,10.03
RH13 0,SEPD,"HV,LV,PSI",3,38,10.03
PH1 4,SHEPD,"HV,LV,PSI",6,263,9.97
SL5 0,SEPD,LV,3,17,9.97
SO14 2,SEPD,"HV,LV",2,367,9.97
IV3 8,SHEPD,"HV,LV",6,94,9.93
RG21 5,SEPD,LV,4,98,9.91
PH49 4,SHEPD,HV,1,178,9.86
SO45 6,SEPD,"HV,LV,PSI",5,1548,9.83
PH32 4,SHEPD,PSI,4,46,9.81
SP5 4,SEPD,"HV,PSI",4,806,9.81
PO22 8,SEPD,"LV,PSI",3,26,9.76
PH37 4,SHEPD,PSI,2,237,9.76
RG42 7,SEPD,"HV,LV,PSI",4,3272,9.74
GU32 3,SEPD,"HV,LV,PSI",5,242,9.72
DD4 6,SHEPD,LV,4,148,9.7
PA37 1,SHEPD,"HV,LV,PSI",8,415,9.69
PO13 9,SEPD,LV,1,12,9.68
HS6 5,SHEPD,"HV,LV,PSI",6,84,9.65
PA23 7,SHEPD,"HV,LV",4,261,9.65
SN10 4,SEPD,"HV,PSI",3,233,9.64
GU14 6,SEPD,"LV,PSI",7,418,9.52
BH3 7,SEPD,"HV,LV",3,684,9.52
SN10 3,SEPD,"LV,PSI",5,169,9.51
SO51 0,SEPD,"LV,PSI",5,170,9.51
BH10 4,SEPD,"HV,LV",2,265,9.39
BH10 5,SEPD,"HV,LV",2,270,9.39
SO17 3,SEPD,LV,1,3,9.34
GU47 8,SEPD,LV,3,27,9.33
SO40 3,SEPD,"HV,LV,PSI",9,322,9.32
UB10 0,SEPD,LV,5,97,9.28
BH18 8,SEPD,"HV,LV,PSI",4,495,9.28
GL7 3,SEPD,"HV,PSI",6,5656,9.25
PO33 4,SEPD,"HV,LV,PSI",6,474,9.25
UB1 2,SEPD,LV,5,154,9.25
G83 8,SHEPD,"HV,PSI",3,35,9.2
GU25 4,SEPD,"LV,PSI",2,21,9.18
SL6 5,SEPD,"HV,PSI",3,260,9.15
IV1 2,SHEPD,"HV,PSI",4,259,9.11
AB42 4,SHEPD,"HV,PSI",3,695,9.01
GU31 4,SEPD,"LV,PSI",4,48,8.99
AB23 8,SHEPD,"HV,PSI",3,24,8.97
PO19 1,SEPD,"HV,LV",4,4434,8.87
SW18 1,SEPD,"LV,PSI",3,376,8.87
PO6 1,SEPD,"HV,LV",8,4098,8.84
PO20 9,SEPD,"HV,LV,PSI",4,11353,8.84
PO6 2,SEPD,"HV,LV",4,3570,8.84
PO20 0,SEPD,"HV,PSI",3,11337,8.84
PO5 2,SEPD,LV,6,164,8.82
DD11 1,SHEPD,LV,5,73,8.82
KW3 6,SHEPD,"HV,PSI",3,292,8.8
DD5 4,SHEPD,"HV,LV",11,177,8.77
TW4 6,SEPD,LV,2,22,8.77
IV53 8,SHEPD,"HV,PSI",3,513,8.71
DD3 6,SHEPD,"LV,PSI",5,148,8.68
AB51 7,SHEPD,"HV,PSI",4,188,8.68
KW12 6,SHEPD,PSI,4,63,8.68
RG17 9,SEPD,"HV,LV,PSI",7,526,8.67
PO21 4,SEPD,"HV,LV",3,4273,8.64
GU15 1,SEPD,"HV,LV",6,90,8.63
BH1 3,SEPD,"HV,LV",5,256,8.54
PO31 8,SEPD,LV,2,38,8.5
AB31 6,SHEPD,"HV,PSI",9,239,8.48
TW14 8,SEPD,LV,5,151,8.45
PO20 6,SEPD,HV,1,230,8.45
GU19 5,SEPD,"LV,PSI",4,110,8.39
RG9 3,SEPD,"LV,PSI",5,93,8.38
FK15 9,SHEPD,"HV,LV,PSI",4,81,8.38
SO51 9,SEPD,"LV,PSI",4,76,8.38
RG18 3,SEPD,"HV,LV,PSI",4,101,8.27
CR4 2,SEPD,HV,1,78,8.25
OX25 3,SEPD,"LV,PSI",2,75,8.18
BH6 4,SEPD,LV,1,36,8.18
GU9 7,SEPD,"LV,PSI",7,285,8.17
GL7 2,SEPD,"LV,PSI",5,75,8.17
BA21 4,SEPD,"HV,LV",4,86,8.17
PO36 8,SEPD,LV,3,53,8.1
IV30 4,SHEPD,"LV,PSI",3,110,8.06
BH18 9,SEPD,"HV,LV,PSI",9,1893,8.04
SN12 6,SEPD,LV,7,123,8.04
BH7 7,SEPD,"HV,LV,PSI",5,142,8.02
RG4 6,SEPD,"HV,LV,PSI",5,1671,8.02
BH24 4,SEPD,PSI,8,78,7.98
KW16 3,SHEPD,"HV,PSI",8,276,7.96
BH10 6,SEPD,LV,2,106,7.94
BH10 7,SEPD,LV,2,106,7.94
IV36 0,SHEPD,"HV,LV,PSI",7,284,7.93
OX7 6,SEPD,"HV,LV,PSI",10,299,7.89
IV1 5,SHEPD,HV,1,89,7.86
SO19 2,SEPD,LV,1,43,7.85
DD2 4,SHEPD,"LV,PSI",10,76,7.81
PH31 4,SHEPD,"HV,LV,PSI",5,564,7.74
SO14 3,SEPD,LV,6,62,7.69
G63 0,SHEPD,"HV,PSI",8,201,7.59
PO41 0,SEPD,HV,3,486,7.52
GL7 7,SEPD,"HV,LV,PSI",8,5809,7.51
BH14 8,SEPD,"LV,PSI",5,146,7.47
IV30 5,SHEPD,"HV,PSI",5,396,7.42
OX26 1,SEPD,PSI,2,10,7.42
SO16 9,SEPD,"HV,PSI",2,322,7.42
SN10 2,SEPD,"HV,LV,PSI",4,122,7.39
PA34 5,SHEPD,"HV,LV,PSI",7,342,7.38
PA80 5,SHEPD,"HV,PSI",3,311,7.38
